method,precision,stdlib,tag,kappa,shape_a,n_seeds,n_attempted,n_nonfinite,rate,ci_lo,ci_hi,is_upper_bound,x2_zero,max_finite_log_component
SPLIT_replica,double,libc++,libcxx,0.505,0.0050000000000000044,5,5000000,121098,0.0242196,0.02408502745726065,0.024354723906515992,false,121098,372.8535874370475
SPLIT_replica,double,libc++,libcxx,0.51,0.010000000000000009,5,5000000,2932,0.0005864,0.0005653703472055741,0.0006080114418922518,false,2932,372.6793916973732
SPLIT_replica,double,libc++,libcxx,0.55,0.050000000000000044,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,177.23334014197187
SPLIT_replica,double,libc++,libcxx,0.6,0.09999999999999998,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,88.6789788603389
SPLIT_replica,double,libc++,libcxx,0.75,0.25,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,35.631830453919214
SPLIT_replica,double,libc++,libcxx,1,0.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,18.056098096119513
SPLIT_replica,double,libc++,libcxx,1.5,1.0,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,9.45679392348213
SPLIT_replica,double,libc++,libcxx,2,1.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,5.917511729057145
SPLIT_replica,double,libc++,libcxx,5,4.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,2.534880239761642
SPLIT_replica,double,libstdc++,libstdcxx,0.5001,9.999999999998899e-05,5,5000000,4640915,0.928183,0.9279563472963979,0.9284091566960098,false,4640915,372.8735523040696
SPLIT_replica,double,libstdc++,libstdcxx,0.501,0.0010000000000000009,5,5000000,2374666,0.4749332,0.4744954044547727,0.4753710245744077,false,2374666,372.73852503602126
SPLIT_replica,double,libstdc++,libstdcxx,0.505,0.0050000000000000044,5,5000000,121373,0.0242746,0.02413987831511247,0.02440987298432759,false,121373,372.85145084190634
SPLIT_replica,double,libstdc++,libstdcxx,0.51,0.010000000000000009,5,5000000,2811,0.0005622,0.0005416125846657065,0.0005833693091858412,false,2811,372.5136946956806
SPLIT_replica,double,libstdc++,libstdcxx,0.55,0.050000000000000044,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,160.32946775125652
SPLIT_replica,double,libstdc++,libstdcxx,0.6,0.09999999999999998,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,80.91957191750878
SPLIT_replica,double,libstdc++,libstdcxx,0.75,0.25,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,33.13078063122897
SPLIT_replica,double,libstdc++,libstdcxx,1,0.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,17.061745991234513
SPLIT_replica,double,libstdc++,libstdcxx,1.5,1.0,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,7.445947817876224
SPLIT_replica,double,libstdc++,libstdcxx,2,1.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,5.2983460411245
SPLIT_replica,double,libstdc++,libstdcxx,5,4.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,2.268820160596951
SPLIT_replica,float,libc++,libcxx,0.5001,0.00010001659393310547,5,5000000,4948283,0.9896566,0.9895675335718813,0.9897450986939944,false,4948283,52.254972043241246
SPLIT_replica,float,libc++,libcxx,0.501,0.0009999871253967285,5,5000000,4508852,0.9017704,0.9015091924326459,0.9020311421922659,false,4508852,52.27808899054067
SPLIT_replica,float,libc++,libcxx,0.505,0.004999995231628418,5,5000000,2981852,0.5963704,0.595940200557439,0.5968004878379849,false,2981852,52.43860305008039
SPLIT_replica,float,libc++,libcxx,0.51,0.009999990463256836,5,5000000,1776854,0.3553708,0.3549512577809665,0.35579050971241594,false,1776854,52.40512830136261
SPLIT_replica,float,libc++,libcxx,0.55,0.050000011920928955,5,5000000,28179,0.0056358,0.005570369807304753,0.0057018036857307206,false,28179,52.192927113114415
SPLIT_replica,float,libc++,libcxx,0.6,0.10000002384185791,5,5000000,163,3.26e-05,2.7787472424424216e-05,3.8006519466950834e-05,false,163,51.770281137423616
SPLIT_replica,float,libc++,libcxx,0.75,0.25,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,29.279736817647056
SPLIT_replica,float,libc++,libcxx,1,0.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,14.689820916322878
SPLIT_replica,float,libc++,libcxx,1.5,1.0,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,7.9269625757008795
SPLIT_replica,float,libc++,libcxx,2,1.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,5.656542256161089
SPLIT_replica,float,libc++,libcxx,5,4.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,2.4920818030436958
SPLIT_replica,float,libstdc++,libstdcxx,0.5001,0.00010001659393310547,5,5000000,4948353,0.9896706,0.9895815929734026,0.9897590392756725,false,4948353,52.14987360539845
SPLIT_replica,float,libstdc++,libstdcxx,0.501,0.0009999871253967285,5,5000000,4509010,0.901802,0.9015408298087494,0.9020627047795262,false,4509010,52.36117801037048
SPLIT_replica,float,libstdc++,libstdcxx,0.505,0.004999995231628418,5,5000000,2984063,0.5968126,0.5963824766163116,0.5972426112670228,false,2984063,52.310528721881646
SPLIT_replica,float,libstdc++,libstdcxx,0.51,0.009999990463256836,5,5000000,1778809,0.3557618,0.35534215414544296,0.3561816128951167,false,1778809,52.524233158042044
SPLIT_replica,float,libstdc++,libstdcxx,0.55,0.050000011920928955,5,5000000,28673,0.0057346,0.005668600380622819,0.0058011729878581055,false,28673,52.216489276925216
SPLIT_replica,float,libstdc++,libstdcxx,0.6,0.10000002384185791,5,5000000,165,3.3e-05,2.815684877192659e-05,3.843705162708496e-05,false,165,51.977361370339395
SPLIT_replica,float,libstdc++,libstdcxx,0.75,0.25,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,29.623208936736575
SPLIT_replica,float,libstdc++,libstdcxx,1,0.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,15.50765317028618
SPLIT_replica,float,libstdc++,libstdcxx,1.5,1.0,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,7.864040350464694
SPLIT_replica,float,libstdc++,libstdcxx,2,1.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,5.380650938084376
SPLIT_replica,float,libstdc++,libstdcxx,5,4.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,2.5076177051125503
SPLIT_replica,float,libstdc++,libstdcxx-contractfast,0.5001,0.00010001659393310547,5,5000000,4948353,0.9896706,0.9895815929734026,0.9897590392756725,false,4948353,52.14987360539845
SPLIT_replica,float,libstdc++,libstdcxx-contractfast,0.501,0.0009999871253967285,5,5000000,4509009,0.9018018,0.9015406295721617,0.9020625050163409,false,4509009,52.36117801037048
SPLIT_replica,float,libstdc++,libstdcxx-contractfast,0.505,0.004999995231628418,5,5000000,2984047,0.5968094,0.596379276064616,0.5972394118224319,false,2984047,52.310528721881646
SPLIT_replica,float,libstdc++,libstdcxx-contractfast,0.51,0.009999990463256836,5,5000000,1778798,0.3557596,0.35533995472770785,0.3561794123153957,false,1778798,52.52423294925841
SPLIT_replica,float,libstdc++,libstdcxx-contractfast,0.55,0.050000011920928955,5,5000000,28672,0.0057344,0.0056684015282463356,0.005800971840486477,false,28672,52.216489276925216
SPLIT_replica,float,libstdc++,libstdcxx-contractfast,0.6,0.10000002384185791,5,5000000,165,3.3e-05,2.815684877192659e-05,3.843705162708496e-05,false,165,51.977361370339395
SPLIT_replica,float,libstdc++,libstdcxx-contractfast,0.75,0.25,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,29.623208793714273
SPLIT_replica,float,libstdc++,libstdcxx-contractfast,1,0.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,15.507652986161569
SPLIT_replica,float,libstdc++,libstdcxx-contractfast,1.5,1.0,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,7.864038286254818
SPLIT_replica,float,libstdc++,libstdcxx-contractfast,2,1.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,5.380649813859257
SPLIT_replica,float,libstdc++,libstdcxx-contractfast,5,4.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,2.5076177051125503
