scope,tag,case,method,precision,kappa,cap,attempts_1,attempts_2,attempts_per_return,block,block_order,cap_rejects,cap_rejects_per_return,engine_calls,engine_calls_1,engine_calls_2,engine_calls_per_return,gamma_variates,gamma_variates_per_return,iqr_ratio,iqr_seconds_per_attempt,iqr_seconds_per_return,log_primitive,median_seconds_per_attempt,median_seconds_per_return,median_time_per_return_ratio,n_attempted,n_blocks,n_finite,n_returned,ratio_ci_hi,ratio_ci_lo,repeat_identical,seconds,seconds_per_attempt,seconds_per_return,total_attempts,total_returned,uniform_variates,uniform_variates_per_return
block,libcxx,B2,LOG,double,0.75,NA,NA,NA,1.0,7,0,0,NA,283029048,NA,NA,NA,17203899,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,17203899,NA,17203899,17203899,NA,NA,NA,2.30154446,1.337803982690203e-07,1.337803982690203e-07,NA,NA,77025108,NA
block,libcxx,B2,LOG,double,0.75,NA,NA,NA,1.0,8,1,0,NA,283054124,NA,NA,NA,17203899,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,17203899,NA,17203899,17203899,NA,NA,NA,2.30195008,1.3380397548253451e-07,1.3380397548253451e-07,NA,NA,77023960,NA
block,libcxx,B2,LOG,double,0.75,NA,NA,NA,1.0,9,0,0,NA,283019532,NA,NA,NA,17203899,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,17203899,NA,17203899,17203899,NA,NA,NA,2.29143187,1.331925902378292e-07,1.331925902378292e-07,NA,NA,77028606,NA
summary,libcxx,B2,LOG,double,0.75,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,16.45179528198811,NA,1.0,NA,2.362025608264646e-10,2.362025608264646e-10,LOG-PUB,1.337921868757774e-07,1.337921868757774e-07,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,172038990,172038990,NA,4.477138397522562
block,libcxx,B2,SPLIT,double,0.75,NA,NA,NA,1.0,0,0,0,NA,358064784,NA,NA,NA,45013090,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,22506545,NA,22506545,22506545,NA,NA,NA,2.26584171,1.0067479082195868e-07,1.0067479082195868e-07,NA,NA,45013090,NA
block,libcxx,B2,SPLIT,double,0.75,NA,NA,NA,1.0,1,1,0,NA,358096008,NA,NA,NA,45013090,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,22506545,NA,22506545,22506545,NA,NA,NA,2.26254775,1.0052843517296858e-07,1.0052843517296858e-07,NA,NA,45013090,NA
block,libcxx,B2,SPLIT,double,0.75,NA,NA,NA,1.0,2,0,0,NA,358038388,NA,NA,NA,45013090,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,22506545,NA,22506545,22506545,NA,NA,NA,2.26959762,1.0084167161152455e-07,1.0084167161152455e-07,NA,NA,45013090,NA
block,libcxx,B2,SPLIT,double,0.75,NA,NA,NA,1.0,3,1,0,NA,358119972,NA,NA,NA,45013090,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,22506545,NA,22506545,22506545,NA,NA,NA,2.26379383,1.0058380040117219e-07,1.0058380040117219e-07,NA,NA,45013090,NA
block,libcxx,B2,SPLIT,double,0.75,NA,NA,NA,1.0,4,0,0,NA,358079732,NA,NA,NA,45013090,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,22506545,NA,22506545,22506545,NA,NA,NA,2.27451246,1.010600454223427e-07,1.010600454223427e-07,NA,NA,45013090,NA
block,libcxx,B2,SPLIT,double,0.75,NA,NA,NA,1.0,5,1,0,NA,358045772,NA,NA,NA,45013090,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,22506545,NA,22506545,22506545,NA,NA,NA,2.26286129,1.005423662316895e-07,1.005423662316895e-07,NA,NA,45013090,NA
block,libcxx,B2,SPLIT,double,0.75,NA,NA,NA,1.0,6,0,0,NA,358135604,NA,NA,NA,45013090,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,22506545,NA,22506545,22506545,NA,NA,NA,2.27038708,1.0087674851915297e-07,1.0087674851915297e-07,NA,NA,45013090,NA
block,libcxx,B2,SPLIT,double,0.75,NA,NA,NA,1.0,7,1,0,NA,358119780,NA,NA,NA,45013090,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,22506545,NA,22506545,22506545,NA,NA,NA,2.26565775,1.006666171995746e-07,1.006666171995746e-07,NA,NA,45013090,NA
block,libcxx,B2,SPLIT,double,0.75,NA,NA,NA,1.0,8,0,0,NA,358104408,NA,NA,NA,45013090,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,22506545,NA,22506545,22506545,NA,NA,NA,2.26138042,1.0047656892694993e-07,1.0047656892694993e-07,NA,NA,45013090,NA
block,libcxx,B2,SPLIT,double,0.75,NA,NA,NA,1.0,9,1,0,NA,358049152,NA,NA,NA,45013090,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,22506545,NA,22506545,22506545,NA,NA,NA,2.27073562,1.0089223468106722e-07,1.0089223468106722e-07,NA,NA,45013090,NA
