method,precision,tag,kappa,shape_a,transform,null_cdf,ecdf_residual,null_cdf_z_orientation,ecdf_residual_z_orientation,band_lo,band_hi,n,resolved_fraction
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.27139671926559017,-0.0004933859322568401,0.27139671926559017,-0.0004933859322568401,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.2747510896673858,-0.000502756334052501,0.2747510896673858,-0.000502756334052501,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.2781274819952163,-0.000535815328549627,0.2781274819952163,-0.000535815328549627,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.2814645590064474,-0.0005278923397807334,0.2814645590064474,-0.0005278923397807334,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.2847991709514375,-0.00051750428477082,0.2847991709514375,-0.00051750428477082,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.2882228517282436,-0.0005978517282435591,0.2882228517282436,-0.0005978517282435591,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.2916068535263485,-0.0006368535263485131,0.2916068535263485,-0.0006368535263485131,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.2950786827904135,-0.0007636827904135002,0.2950786827904135,-0.0007636827904135002,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.29840438298453154,-0.0007443829845315553,0.29840438298453154,-0.0007443829845315553,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.30185621367030846,-0.0008528803369751148,0.30185621367030846,-0.0008528803369751148,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.30509978266129323,-0.0007514493279598966,0.30509978266129323,-0.0007514493279598966,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.30846065664536637,-0.0007673233120330525,0.30846065664536637,-0.0007673233120330525,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.31186679726967625,-0.0008301306030095712,0.31186679726967625,-0.0008301306030095712,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.31521045490012356,-0.0008287882334568897,0.31521045490012356,-0.0008287882334568897,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.3186049342491031,-0.0008782675824364206,0.3186049342491031,-0.0008782675824364206,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.32176163846323924,-0.0006916384632392192,0.32176163846323924,-0.0006916384632392192,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.3249942249884902,-0.0005792249884901679,0.3249942249884902,-0.0005792249884901679,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.32832414123944975,-0.0005641412394497558,0.32832414123944975,-0.0005641412394497558,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.33167580458500745,-0.0005724712516740893,0.33167580458500745,-0.0005724712516740893,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.3349897171034629,-0.0005413837701295776,0.3349897171034629,-0.0005413837701295776,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.3382653885130069,-0.00047205517967358057,0.3382653885130069,-0.00047205517967358057,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.34165714452431495,-0.0005204778576483049,0.34165714452431495,-0.0005204778576483049,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.34496014237894734,-0.0004784757122806571,0.34496014237894734,-0.0004784757122806571,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.3483174996015509,-0.0004908329348842222,0.3483174996015509,-0.0004908329348842222,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.3517502468728545,-0.0005802468728545174,0.3517502468728545,-0.0005802468728545174,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.3551402995833832,-0.0006252995833831987,0.3551402995833832,-0.0006252995833831987,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.3584291903443617,-0.000569190344361703,0.3584291903443617,-0.000569190344361703,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.3617508055829536,-0.0005458055829535846,0.3617508055829536,-0.0005458055829535846,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.36508224036023174,-0.0005339070268984281,0.36508224036023174,-0.0005339070268984281,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.3684953717501295,-0.0006020384167961246,0.3684953717501295,-0.0006020384167961246,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.37187336277849803,-0.0006350294451646921,0.37187336277849803,-0.0006350294451646921,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-PUB,float,libstdcxx,0.55,0.050000011920928955,Z,0.3751658734864114,-0.0005842068197447481,0.3751658734864114,-0.0005842068197447481,-0.002101253071889096,0.002101253071889096,600000,1.0
