tag,precision,kappa,shape_a,method,bin_kind,bin_hi,bin_lo,n_in_bin,n_success,success_rate,ci_lo,ci_hi,is_upper_bound,merged,n_seeds,n_total
libcxx,double,0.51,0.010000000000000009,LOG,target_upper_tail_q,0.5,0.1,1999834,1999834,1.0,0.999998155408873,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,QF,target_upper_tail_q,0.5,0.1,1999834,1999834,1.0,0.999998155408873,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,SPLIT,target_upper_tail_q,0.1,0.01,449959,449959,1.0,0.9999918017767553,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,LOG,target_upper_tail_q,0.1,0.01,449959,449959,1.0,0.9999918017767553,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,QF,target_upper_tail_q,0.1,0.01,449959,449959,1.0,0.9999918017767553,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,SPLIT,target_upper_tail_q,0.01,0.001,44932,44932,1.0,0.9999179042101107,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,LOG,target_upper_tail_q,0.01,0.001,44932,44932,1.0,0.9999179042101107,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,QF,target_upper_tail_q,0.01,0.001,44932,44932,1.0,0.9999179042101107,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,SPLIT,target_upper_tail_q,0.001,0.0001,4390,2091,0.4763097949886105,0.4614418249334338,0.4912093106609102,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,LOG,target_upper_tail_q,0.001,0.0001,4390,4390,1.0,0.9991600614985858,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,QF,target_upper_tail_q,0.001,0.0001,4390,835,0.19020501138952164,0.17869062383237458,0.20213304582567945,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,SPLIT,target_upper_tail_q,0.0001,1e-05,477,0,0.0,0.0,0.006260680913576899,true,false,5,5000000
libcxx,double,0.51,0.010000000000000009,LOG,target_upper_tail_q,0.0001,1e-05,477,477,1.0,0.9922963266691198,1.0,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,QF,target_upper_tail_q,0.0001,1e-05,477,0,0.0,0.0,0.006260680913576899,true,false,5,5000000
libcxx,double,0.51,0.010000000000000009,SPLIT,target_upper_tail_q,1e-05,0.0,61,0,0.0,0.0,0.04792395210660727,true,false,5,5000000
