tag,precision,kappa,shape_a,method,p,n_attempted,n_success,target_log_r_quantile,rho_attempt,rho_attempt_lo,rho_attempt_hi,rho_cond,rho_cond_lo,rho_cond_hi,conditional_log_r_quantile,conditional_log_r_quantile_lo,conditional_log_r_quantile_hi,conditional_log_r_quantile_error,quantile_resolved,unconditional_failure_probability,failure_ci_lo,failure_ci_hi,failure_is_upper_bound,bootstrap_resamples,interval_conf,n_seeds
libcxx,float,0.6,0.10000002384185791,SPLIT,0.9999,5000000,4999834,46.34200544261958,0.6760000000000744,0.5820000000000641,0.7740000000000852,0.6760224439452134,0.5820193230415891,0.7740256976532474,44.829432479452805,44.50481615073947,45.29774813906949,-1.5125729631667753,true,3.32e-05,2.8341606618887448e-05,3.8652248646318015e-05,false,10000,0.99,5
libcxx,float,0.6,0.10000002384185791,LOG,0.99,5000000,5000000,23.31616000246791,0.9958199999999992,0.9845598999999992,1.007420199999999,0.9958199999999992,0.9845598999999992,1.007420199999999,23.29546021949598,23.24557601999572,23.348407894900916,-0.020699782971931313,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libcxx,float,0.6,0.10000002384185791,LOG,0.999,5000000,5000000,34.82908272254346,1.006799999999999,0.971198999999999,1.0433999999999992,1.006799999999999,0.971198999999999,1.0433999999999992,34.862568557550986,34.666342319493374,35.05030711513276,0.03348583500752511,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libcxx,float,0.6,0.10000002384185791,LOG,0.9999,5000000,5000000,46.34200544261958,1.008000000000111,0.8960000000000986,1.1220000000001236,1.008000000000111,0.8960000000000986,1.1220000000001236,46.35955139951611,45.82681226748229,46.910383337041864,0.017545956896526604,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libcxx,float,0.75,0.25,SPLIT,0.99,5000000,5000000,9.479646273964422,0.9953199999999992,0.9839999999999991,1.0068400999999991,0.9953199999999992,0.9839999999999991,1.0068400999999991,9.471174900713663,9.449504575795759,9.491878046998206,-0.008471373250758418,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libcxx,float,0.75,0.25,SPLIT,0.999,5000000,5000000,14.08481646403701,1.0139999999999991,0.977598999999999,1.049999999999999,1.0139999999999991,0.977598999999999,1.049999999999999,14.111706776157074,14.044832138159867,14.181986350904118,0.026890312120064763,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libcxx,float,0.75,0.25,SPLIT,0.9999,5000000,5000000,18.689986650025734,1.0500000000001157,0.9320000000001026,1.1640000000001283,1.0500000000001157,0.9320000000001026,1.1640000000001283,18.81634295726079,18.55225879786842,18.977453229816255,0.12635630723505642,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libcxx,float,0.75,0.25,LOG,0.99,5000000,5000000,9.479646273964422,0.9953199999999992,0.9839999999999991,1.0068400999999991,0.9953199999999992,0.9839999999999991,1.0068400999999991,9.471174900713663,9.449504575795759,9.491878046998206,-0.008471373250758418,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libcxx,float,0.75,0.25,LOG,0.999,5000000,5000000,14.08481646403701,1.0139999999999991,0.977598999999999,1.049999999999999,1.0139999999999991,0.977598999999999,1.049999999999999,14.111706776157074,14.044832138159867,14.181986350904118,0.026890312120064763,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libcxx,float,0.75,0.25,LOG,0.9999,5000000,5000000,18.689986650025734,1.0500000000001157,0.9320000000001026,1.1640000000001283,1.0500000000001157,0.9320000000001026,1.1640000000001283,18.81634295726079,18.55225879786842,18.977453229816255,0.12635630723505642,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libstdcxx,double,0.501,0.0010000000000000009,SPLIT,0.99,5000000,2625119,2302.8917684116877,0.0,0.0,0.0,0.0,0.0,0.0,366.96199581867927,366.883335395365,367.04395256402506,-1935.9297725930085,true,0.4749762,0.47453840253955093,0.47541402643984115,false,10000,0.99,5
libstdcxx,double,0.501,0.0010000000000000009,SPLIT,0.999,5000000,2625119,3454.184314908709,0.0,0.0,0.0,0.0,0.0,0.0,372.00893148815436,371.9766602679912,372.0411009488426,-3082.1753834205547,true,0.4749762,0.47453840253955093,0.47541402643984115,false,10000,0.99,5
libstdcxx,double,0.501,0.0010000000000000009,SPLIT,0.9999,5000000,2625119,4605.4768614057875,0.0,0.0,0.0,0.0,0.0,0.0,372.89202031036854,372.8605756405806,372.94012426473705,-4232.584841095419,true,0.4749762,0.47453840253955093,0.47541402643984115,false,10000,0.99,5
libstdcxx,double,0.501,0.0010000000000000009,LOG,0.99,5000000,3791426,2302.8917684116877,0.0,0.0,0.0,0.0,0.0,0.0,694.8246964445766,694.638682714454,695.0079076854981,-1608.0670719671111,true,0.2417148,0.24133959073827654,0.24209030838994078,false,10000,0.99,5
libstdcxx,double,0.501,0.0010000000000000009,LOG,0.999,5000000,3791426,3454.184314908709,0.0,0.0,0.0,0.0,0.0,0.0,708.7222700815257,708.6593941393713,708.7884431098936,-2745.4620448271835,true,0.2417148,0.24133959073827654,0.24209030838994078,false,10000,0.99,5
