run_id,block,kappa,theta_perp,theta_par,ub_x,ub_y,ub_z,mode,lambda,seed,n_samples,n_nonfinite,file
215,C,0.75,1,1,0,0,1,capped,3,2001,100000,0,run_0215.bin
216,C,0.75,1,1,0,0,1,capped,3,2002,100000,0,run_0216.bin
217,C,0.75,1,1,0,0,1,capped,3,2003,100000,0,run_0217.bin
218,C,0.75,1,1,0,0,1,capped,3,2004,100000,0,run_0218.bin
219,C,0.75,1,1,0,0,1,capped,3,2005,100000,0,run_0219.bin
220,C,0.75,1,1,0,0,1,capped,5,2001,100000,0,run_0220.bin
221,C,0.75,1,1,0,0,1,capped,5,2002,100000,0,run_0221.bin
222,C,0.75,1,1,0,0,1,capped,5,2003,100000,0,run_0222.bin
223,C,0.75,1,1,0,0,1,capped,5,2004,100000,0,run_0223.bin
224,C,0.75,1,1,0,0,1,capped,5,2005,100000,0,run_0224.bin
225,C,0.75,1,1,0,0,1,capped,10,2001,100000,0,run_0225.bin
226,C,0.75,1,1,0,0,1,capped,10,2002,100000,0,run_0226.bin
227,C,0.75,1,1,0,0,1,capped,10,2003,100000,0,run_0227.bin
228,C,0.75,1,1,0,0,1,capped,10,2004,100000,0,run_0228.bin
229,C,0.75,1,1,0,0,1,capped,10,2005,100000,0,run_0229.bin
230,C,0.75,1,1,0,0,1,capped,20,2001,100000,0,run_0230.bin
231,C,0.75,1,1,0,0,1,capped,20,2002,100000,0,run_0231.bin
232,C,0.75,1,1,0,0,1,capped,20,2003,100000,0,run_0232.bin
233,C,0.75,1,1,0,0,1,capped,20,2004,100000,0,run_0233.bin
234,C,0.75,1,1,0,0,1,capped,20,2005,100000,0,run_0234.bin
235,C,0.75,1,1,0,0,1,capped,50,2001,100000,0,run_0235.bin
236,C,0.75,1,1,0,0,1,capped,50,2002,100000,0,run_0236.bin
237,C,0.75,1,1,0,0,1,capped,50,2003,100000,0,run_0237.bin
238,C,0.75,1,1,0,0,1,capped,50,2004,100000,0,run_0238.bin
239,C,0.75,1,1,0,0,1,capped,50,2005,100000,0,run_0239.bin
240,C,0.75,1,1,0,0,1,capped,100,2001,100000,0,run_0240.bin
241,C,0.75,1,1,0,0,1,capped,100,2002,100000,0,run_0241.bin
242,C,0.75,1,1,0,0,1,capped,100,2003,100000,0,run_0242.bin
243,C,0.75,1,1,0,0,1,capped,100,2004,100000,0,run_0243.bin
244,C,0.75,1,1,0,0,1,capped,100,2005,100000,0,run_0244.bin
245,C,2,1,1,0,0,1,uncapped,inf,2001,100000,0,run_0245.bin
246,C,2,1,1,0,0,1,uncapped,inf,2002,100000,0,run_0246.bin
247,C,2,1,1,0,0,1,uncapped,inf,2003,100000,0,run_0247.bin
248,C,2,1,1,0,0,1,uncapped,inf,2004,100000,0,run_0248.bin
249,C,2,1,1,0,0,1,uncapped,inf,2005,100000,0,run_0249.bin
250,C,2,1,1,0,0,1,capped,3,2001,100000,0,run_0250.bin
251,C,2,1,1,0,0,1,capped,3,2002,100000,0,run_0251.bin
252,C,2,1,1,0,0,1,capped,3,2003,100000,0,run_0252.bin
253,C,2,1,1,0,0,1,capped,3,2004,100000,0,run_0253.bin
254,C,2,1,1,0,0,1,capped,3,2005,100000,0,run_0254.bin
255,C,2,1,1,0,0,1,capped,5,2001,100000,0,run_0255.bin
256,C,2,1,1,0,0,1,capped,5,2002,100000,0,run_0256.bin
257,C,2,1,1,0,0,1,capped,5,2003,100000,0,run_0257.bin
258,C,2,1,1,0,0,1,capped,5,2004,100000,0,run_0258.bin
259,C,2,1,1,0,0,1,capped,5,2005,100000,0,run_0259.bin
260,C,2,1,1,0,0,1,capped,10,2001,100000,0,run_0260.bin
261,C,2,1,1,0,0,1,capped,10,2002,100000,0,run_0261.bin
262,C,2,1,1,0,0,1,capped,10,2003,100000,0,run_0262.bin
263,C,2,1,1,0,0,1,capped,10,2004,100000,0,run_0263.bin
264,C,2,1,1,0,0,1,capped,10,2005,100000,0,run_0264.bin
265,C,2,1,1,0,0,1,capped,20,2001,100000,0,run_0265.bin
266,C,2,1,1,0,0,1,capped,20,2002,100000,0,run_0266.bin
267,C,2,1,1,0,0,1,capped,20,2003,100000,0,run_0267.bin
268,C,2,1,1,0,0,1,capped,20,2004,100000,0,run_0268.bin
269,C,2,1,1,0,0,1,capped,20,2005,100000,0,run_0269.bin
270,C,2,1,1,0,0,1,capped,50,2001,100000,0,run_0270.bin
271,C,2,1,1,0,0,1,capped,50,2002,100000,0,run_0271.bin
272,C,2,1,1,0,0,1,capped,50,2003,100000,0,run_0272.bin
273,C,2,1,1,0,0,1,capped,50,2004,100000,0,run_0273.bin
274,C,2,1,1,0,0,1,capped,50,2005,100000,0,run_0274.bin
275,C,2,1,1,0,0,1,capped,100,2001,100000,0,run_0275.bin
276,C,2,1,1,0,0,1,capped,100,2002,100000,0,run_0276.bin
277,C,2,1,1,0,0,1,capped,100,2003,100000,0,run_0277.bin
278,C,2,1,1,0,0,1,capped,100,2004,100000,0,run_0278.bin
279,C,2,1,1,0,0,1,capped,100,2005,100000,0,run_0279.bin
