scope,tag,stdlib,arch,case,method,precision,kappa,cap,block,slot,candidate_first,seed,n_returned,n_finite,n_nonfinite,attempts_reported,seconds,seconds_per_returned,ratio_candidate_over_legacy,ratio_lo,ratio_hi,ratio_conf,boot_kind,boot_resamples,boot_rng_seed,boot_n_seeds,pre_registered_bound,repeat_identical,protocol_sha256
block,libcxx,libc++,arm64,B3,CANDIDATE,double,0.51,5,4,1,false,9010,1020161,1020161,0,28166097,2.29518196,2.2498232710327097e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B3,LEGACY,double,0.51,5,4,0,false,9010,1000000,1000000,0,0,2.49466225,2.49466225e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B3,CANDIDATE,double,0.51,5,5,0,true,9006,1020161,1020161,0,28174436,2.29146179,2.2461766250621227e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B3,LEGACY,double,0.51,5,5,1,true,9006,1000000,1000000,0,0,2.47908813,2.479088125e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B3,CANDIDATE,double,0.51,5,6,0,true,9007,1020161,1020161,0,28219360,2.29474729,2.2493971941683717e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B3,LEGACY,double,0.51,5,6,1,true,9007,1000000,1000000,0,0,2.48092487,2.480924875e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B3,CANDIDATE,double,0.51,5,7,0,true,9008,1020161,1020161,0,28167334,2.29772783,2.2523188339879683e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B3,LEGACY,double,0.51,5,7,1,true,9008,1000000,1000000,0,0,2.47412421,2.474124209e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B3,CANDIDATE,double,0.51,5,8,1,false,9009,1020161,1020161,0,28196928,2.29145262,2.246167639225573e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B3,LEGACY,double,0.51,5,8,0,false,9009,1000000,1000000,0,0,2.47540762,2.475407625e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B3,CANDIDATE,double,0.51,5,9,1,false,9010,1020161,1020161,0,28166097,2.30333779,2.2578179248177498e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B3,LEGACY,double,0.51,5,9,0,false,9010,1000000,1000000,0,0,2.47607229,2.476072291e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B4,CANDIDATE,double,0.51,20,0,0,true,9006,1724164,1724164,0,27632063,2.29503704,1.3311013581074655e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B4,LEGACY,double,0.51,20,0,1,true,9006,1578326,1578326,0,0,2.29952242,1.456937550924207e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B4,CANDIDATE,double,0.51,20,1,1,false,9007,1724164,1724164,0,27669015,2.28782767,1.3269199838298447e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B4,LEGACY,double,0.51,20,1,0,false,9007,1578326,1578326,0,0,2.28997475,1.4508883145813982e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B4,CANDIDATE,double,0.51,20,2,1,false,9008,1724164,1724164,0,27643692,2.28510588,1.3253413683385108e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B4,LEGACY,double,0.51,20,2,0,false,9008,1578326,1578326,0,0,2.30104954,1.4579051108579596e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B4,CANDIDATE,double,0.51,20,3,0,true,9009,1724164,1724164,0,27640178,2.27758225,1.320977731816695e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B4,LEGACY,double,0.51,20,3,1,true,9009,1578326,1578326,0,0,2.29266342,1.4525918073959372e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
